"COVID-19 Fatality Demographics, by Age Group by Month, 03/07/2020 to 03/31/2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
DISCLAIMER: All data are provisional and are subject to change.,,,,,,,,,,,
,Age Group,,,,,,,,,,
Month Year,<1,1-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Total
March 2020,0,0,0,2,1,10,9,22,25,32,101
April 2020,1,0,2,6,21,41,88,182,203,350,894
May 2020,0,0,1,3,10,39,115,212,228,316,924
June 2020,0,1,0,15,40,108,174,288,319,408,1353
July 2020,2,4,8,56,140,364,813,1394,1748,2146,6675
August 2020,1,1,4,16,60,282,626,1059,1201,1586,4836
September 2020,0,0,2,12,42,116,276,445,562,678,2133
October 2020,0,1,4,10,43,120,258,547,674,907,2564
November 2020,0,1,0,20,64,202,463,986,1307,1756,4799
December 2020,0,0,4,23,91,293,694,1431,1899,2601,7036
Total 2020,4,8,25,163,512,1575,3516,6566,8166,10780,31315
,,,,,,,,,,,
January 2021,2,2,3,38,139,377,951,2054,2806,3578,9950
February 2021,0,1,3,25,97,242,631,1241,1489,1515,5244
March 2021,0,0,2,9,55,169,313,613,603,574,2338
April 2021,1,1,0,14,40,110,229,328,268,257,1248
May 2021,0,2,1,14,47,104,171,237,252,184,1012
June 2021,0,0,0,11,21,73,119,163,123,109,619
July 2021,1,0,2,23,60,141,187,275,257,233,1179
August 2021,4,2,16,130,409,850,1302,1494,1422,1276,6905
September 2021,4,3,18,153,508,1044,1542,2015,1669,1375,8331
October 2021,1,3,10,82,235,436,756,1097,854,640,4114
November 2021,0,0,3,27,75,170,317,412,359,324,1687
December 2021,1,3,5,33,73,187,306,451,453,471,1983
Total 2021,14,17,63,559,1759,3903,6824,10380,10555,10536,44610
,,,,,,,,,,,
January 2022,5,1,4,47,128,286,641,1159,1468,1918,5657
February 2022,4,3,2,25,67,152,427,868,1135,1381,4064
March 2022,0,0,3,6,20,51,96,224,279,275,954
April 2022,0,0,4,1,7,16,31,52,74,74,259
May 2022,0,1,0,0,7,9,19,40,32,72,180
June 2022,0,4,0,2,6,14,28,55,97,146,352
July 2022,0,2,1,3,11,16,55,136,210,367,801
August 2022,3,1,2,4,8,22,42,101,226,399,808
September 2022,0,1,0,2,11,13,34,80,115,241,497
October 2022,0,0,0,4,5,13,21,33,72,141,289
November 2022,0,1,0,1,6,4,14,24,62,141,253
December 2022,1,1,0,6,2,15,31,79,161,308,604
Total 2022,13,15,16,101,278,611,1439,2851,3931,5463,14718
,,,,,,,,,,,
January 2023,0,1,2,3,4,12,52,106,210,405,795
February 2023,1,0,0,1,2,11,15,68,118,215,431
March 2023,2,0,0,2,3,6,12,46,76,140,287
Total 2023,3,1,2,6,9,29,79,220,404,760,1513
 ,,,,,,,,,,,
Grand Total,34,41,106,829,2558,6118,11858,20017,23056,27539,92156
,,,,,,,,,,,
Notes:,Data for March 2020 began on 03/07/2020.,,,,,,,,,,
,Data are updated on the 14th of each month.,,,,,,,,,,
,Includes all cases through the last day of the most recent month listed.,,,,,,,,,,
